# from nadler+ 2020 fit to MW and LMC sats
# log10(Mpeak_virial/Msun) focc
7.091189510951651 0.00034720984798308763
7.125488494590809 0.0019889150150660395
7.159787478229967 0.005290366065353602
7.19605578150391 0.014314187507903142
7.228385445508284 0.023141654667865108
7.261125384436571 0.035650185190908235
7.292306278653989 0.05030556093244465
7.318810038738793 0.06564558185080271
7.340636664690985 0.08092606840595906
7.365864842739621 0.09657638964161208
7.3818647359340135 0.1122918579077049
7.397108728662528 0.12749517028834023
7.412352721391043 0.1432387018906225
7.427596714119558 0.16013984611071963
7.440415526186718 0.17761979663972416
7.452887883873685 0.19454988117526673
7.465360241560652 0.2122613542278342
7.477832599247618 0.22919143876337678
7.488745912223714 0.24499285099654977
7.498100180488939 0.26004181502814316
7.507454448754164 0.2752065403215179
7.516808717019389 0.2902555043531113
7.526162985284614 0.3054202296464861
7.535517253549839 0.3207007162016424
7.545094242488045 0.33702305411283207
7.55712115882905 0.354486467318725
7.566698147767256 0.3710568650765893
7.576052416032481 0.3861058291081826
7.585406684297706 0.40127055440155746
7.594983673235912 0.417692116251417
7.607233310249898 0.4360857538823397
7.620918258267542 0.45579410870063797
7.62962752539851 0.47170602032005693
7.644524621182156 0.49005944218795816
7.6734260159653 0.5344241731202892
7.6540521166374775 0.5060344963138034
7.661752410068923 0.518305190062641
7.689744681119428 0.5532229961163659
7.705453127034761 0.5735233119324104
7.717925484721727 0.5901929336289446
7.729061518370805 0.6064160476014644
7.74131115538479 0.6236189979683491
7.7549961034024335 0.6426327852159583
7.767814915469594 0.6603442582685258
7.780287273156561 0.6778820894284212
7.791423306805639 0.6945269051402878
7.8048855341503005 0.7113178005396408
7.817704346217461 0.7290196268203931
7.830176703904428 0.7450815018925745
7.842649061591394 0.7608829141257474
7.855121419278361 0.7759897587882315
7.867940231345521 0.7916561162159927
7.884318074772851 0.8086975771170372
7.900333715893615 0.8262764509061096
7.917483207713195 0.8432470518832756
7.934632699532774 0.8592684105138334
7.951782191352353 0.8753129213967475
7.967372638461061 0.8905934079519039
7.9860811749915115 0.9068661338937586
8.009466845654574 0.9216753067402332
8.035970605739378 0.9375153060606667
8.067151499956795 0.9517153541725291
8.101450483595954 0.9653541355606025
8.135749467235112 0.9747623690181161
8.17272109895005 0.9845584778722482
8.19588404894013 0.989263582544983
8.22617406046562 0.9935562850379911
8.26047304410478 0.9957707829419408
8.294772027743937 0.9970516737865879
8.329071011383096 0.9976830988508506
8.363369995022254 0.998251381408687
8.397668978661413 0.998251381408687
8.424172738746217 0.9985986651940314
